640.000,-79.00
640.893,-77.00
641.786,-77.00
642.679,-78.00
643.571,-76.00
644.464,-74.00
645.357,-75.00
646.250,-73.00
647.143,-76.00
648.036,-75.00
648.929,-74.00
649.821,-75.00
650.714,-75.00
651.607,-71.00
652.500,-73.00
653.393,-77.00
654.286,-79.00
655.179,-74.00
656.071,-74.00
656.964,-84.00
657.857,-83.00
658.750,-85.00
659.643,-83.00
660.536,-86.00
661.429,-85.00
662.321,-87.00
663.214,-86.00
664.107,-85.00
665.000,-89.00
665.893,-87.00
666.786,-77.00
667.679,-76.00
668.571,-82.00
669.464,-72.00
670.357,-78.00
671.250,-76.00
672.143,-76.00
673.036,-76.00
673.929,-74.00
674.821,-74.00
675.714,-75.00
676.607,-73.00
677.500,-76.00
678.393,-76.00
679.286,-75.00
680.179,-74.00
681.071,-81.00
681.964,-83.00
682.857,-75.00
683.750,-76.00
684.643,-77.00
685.536,-75.00
686.429,-89.00
687.321,-88.00
688.214,-90.00
689.107,-92.00
690.000,-93.00
690.893,-93.00
691.786,-94.00
692.679,-93.00
693.571,-93.00
694.464,-95.00
695.357,-93.00
696.250,-94.00
697.143,-95.00
698.036,-96.00
698.928,-76.00
699.821,-78.00
700.714,-76.00
701.607,-79.00
702.500,-89.00
703.393,-93.00
704.286,-94.00
705.178,-95.00
706.071,-93.00
706.964,-92.00
707.857,-85.00
708.750,-85.00
709.643,-86.00
710.536,-85.00
711.428,-77.00
712.321,-79.00
713.214,-78.00
714.107,-78.00
715.000,-97.00
715.893,-94.00
716.786,-94.00
717.678,-92.00
718.571,-94.00
719.464,-95.00
720.357,-95.00
721.250,-93.00
722.143,-95.00
723.036,-92.00
723.928,-95.00
724.821,-96.00
725.714,-96.00
726.607,-96.00
727.500,-95.00
728.393,-95.00
729.286,-94.00
730.178,-93.00
731.071,-94.00
731.964,-93.00
732.857,-93.00
733.750,-95.00
734.643,-97.00
735.536,-94.00
736.428,-94.00
737.321,-89.00
738.214,-93.00
739.107,-86.00
