


  ,  ,470.000 ,471.161 ,472.321 ,473.482 ,474.643 ,475.804 ,476.964 ,478.125 ,479.286 ,480.446 ,481.607 ,482.768 ,483.929 ,485.089 ,486.250 ,487.411 ,488.571 ,489.732 ,490.893 ,492.054 ,493.214 ,494.375 ,495.536 ,496.696 ,497.857 ,499.018 ,500.179 ,501.339 ,502.500 ,503.661 ,504.821 ,505.982 ,507.143 ,508.304 ,509.464 ,510.625 ,511.786 ,512.946 ,514.107 ,515.268 ,516.429 ,517.589 ,518.750 ,519.911 ,521.071 ,522.232 ,523.393 ,524.554 ,525.714 ,526.875 ,528.036 ,529.196 ,530.357 ,531.518 ,532.679 ,533.839 ,535.000 ,536.161 ,537.321 ,538.482 ,539.643 ,540.804 ,541.964 ,543.125 ,544.286 ,545.446 ,546.607 ,547.768 ,548.929 ,550.089 ,551.250 ,552.411 ,553.571 ,554.732 ,555.893 ,557.054 ,558.214 ,559.375 ,560.536 ,561.696 ,562.857 ,564.018 ,565.179 ,566.339 ,567.500 ,568.661 ,569.821 ,570.982 ,572.143 ,573.304 ,574.464 ,575.625 ,576.786 ,577.946 ,579.107 ,580.268 ,581.429 ,582.589 ,583.750 ,584.911 ,586.071 ,587.232 ,588.393 ,589.554 ,590.714 ,591.875 ,593.036 ,594.196 ,595.357 ,596.518 ,597.679 ,598.839

Mar Thu 31 00:09:56 2016,  , -104 ,-107 ,-105 ,-99 ,-105 ,-105 ,-104 ,-101 ,-103 ,-103 ,-103 ,-94 ,-102 ,-103 ,-105 ,-101 ,-100 ,-105 ,-108 ,-106 ,-101 ,-109 ,-106 ,-109 ,-108 ,-105 ,-111 ,-109 ,-101 ,-110 ,-107 ,-102 ,-104 ,-108 ,-106 ,-111 ,-104 ,-107 ,-103 ,-108 ,-106 ,-107 ,-103 ,-98 ,-94 ,-101 ,-97 ,-98 ,-97 ,-105 ,-103 ,-102 ,-99 ,-101 ,-103 ,-96 ,-99 ,-93 ,-87 ,-88 ,-72 ,-30 ,-77 ,-63 ,-90 ,-95 ,-88 ,-94 ,-90 ,-93 ,-102 ,-108 ,-98 ,-98 ,-108 ,-85 ,-83 ,-94 ,-91 ,-90 ,-99 ,-105 ,-112 ,-108 ,-109 ,-105 ,-109 ,-110 ,-106 ,-97 ,-105 ,-106 ,-105 ,-104 ,-105 ,-98 ,-113 ,-108 ,-113 ,-109 ,-110 ,-100 ,-106 ,-109 ,-103 ,-105 ,-108 ,-109 ,-106 ,-103 ,-105 ,-102
Mar Thu 31 00:09:57 2016,  , -105 ,-105 ,-102 ,-101 ,-99 ,-109 ,-108 ,-104 ,-106 ,-103 ,-105 ,-99 ,-103 ,-100 ,-106 ,-107 ,-104 ,-104 ,-104 ,-108 ,-102 ,-107 ,-108 ,-108 ,-105 ,-110 ,-109 ,-111 ,-99 ,-110 ,-106 ,-104 ,-107 ,-104 ,-102 ,-108 ,-109 ,-106 ,-106 ,-106 ,-110 ,-110 ,-105 ,-98 ,-99 ,-99 ,-100 ,-96 ,-94 ,-103 ,-104 ,-105 ,-96 ,-107 ,-97 ,-96 ,-96 ,-92 ,-87 ,-87 ,-70 ,-30 ,-76 ,-63 ,-90 ,-95 ,-88 ,-92 ,-87 ,-96 ,-97 ,-108 ,-98 ,-101 ,-101 ,-83 ,-83 ,-93 ,-94 ,-90 ,-98 ,-102 ,-112 ,-104 ,-108 ,-111 ,-110 ,-110 ,-106 ,-95 ,-108 ,-99 ,-105 ,-111 ,-104 ,-100 ,-113 ,-108 ,-107 ,-104 ,-110 ,-101 ,-105 ,-104 ,-109 ,-104 ,-105 ,-108 ,-104 ,-101 ,-108 ,-102
Mar Thu 31 00:09:58 2016,  , -107 ,-107 ,-99 ,-101 ,-97 ,-104 ,-107 ,-100 ,-103 ,-102 ,-102 ,-96 ,-96 ,-101 ,-103 ,-107 ,-106 ,-103 ,-106 ,-107 ,-103 ,-110 ,-110 ,-112 ,-107 ,-106 ,-107 ,-109 ,-101 ,-103 ,-109 ,-100 ,-103 ,-107 ,-103 ,-107 ,-106 ,-108 ,-105 ,-106 ,-111 ,-104 ,-103 ,-100 ,-97 ,-101 ,-95 ,-96 ,-99 ,-101 ,-103 ,-103 ,-96 ,-106 ,-105 ,-93 ,-96 ,-90 ,-88 ,-85 ,-71 ,-30 ,-76 ,-60 ,-87 ,-90 ,-93 ,-92 ,-92 ,-93 ,-98 ,-104 ,-102 ,-102 ,-106 ,-85 ,-88 ,-93 ,-93 ,-90 ,-99 ,-108 ,-111 ,-107 ,-103 ,-111 ,-113 ,-109 ,-109 ,-95 ,-105 ,-102 ,-106 ,-108 ,-110 ,-100 ,-110 ,-110 ,-107 ,-108 ,-107 ,-104 ,-102 ,-111 ,-106 ,-101 ,-111 ,-114 ,-105 ,-102 ,-108 ,-98
Mar Thu 31 00:10:00 2016,  , -109 ,-103 ,-101 ,-96 ,-100 ,-105 ,-102 ,-101 ,-105 ,-100 ,-100 ,-96 ,-102 ,-99 ,-109 ,-102 ,-106 ,-105 ,-105 ,-107 ,-106 ,-108 ,-107 ,-111 ,-109 ,-112 ,-108 ,-113 ,-98 ,-107 ,-113 ,-104 ,-107 ,-104 ,-103 ,-111 ,-103 ,-110 ,-102 ,-108 ,-107 ,-108 ,-109 ,-101 ,-94 ,-98 ,-98 ,-98 ,-96 ,-103 ,-102 ,-109 ,-102 ,-106 ,-100 ,-91 ,-94 ,-95 ,-90 ,-90 ,-70 ,-30 ,-78 ,-63 ,-92 ,-92 ,-90 ,-94 ,-92 ,-95 ,-98 ,-108 ,-102 ,-98 ,-107 ,-83 ,-85 ,-93 ,-91 ,-92 ,-99 ,-103 ,-106 ,-108 ,-109 ,-108 ,-113 ,-108 ,-111 ,-97 ,-107 ,-102 ,-107 ,-109 ,-104 ,-103 ,-110 ,-103 ,-110 ,-112 ,-111 ,-102 ,-103 ,-108 ,-110 ,-103 ,-109 ,-107 ,-104 ,-103 ,-108 ,-100
Mar Thu 31 00:10:01 2016,  , -106 ,-107 ,-102 ,-96 ,-98 ,-111 ,-101 ,-108 ,-100 ,-107 ,-103 ,-97 ,-97 ,-98 ,-109 ,-104 ,-100 ,-102 ,-104 ,-104 ,-106 ,-104 ,-105 ,-112 ,-105 ,-105 ,-107 ,-108 ,-99 ,-107 ,-109 ,-107 ,-105 ,-104 ,-105 ,-105 ,-106 ,-111 ,-106 ,-105 ,-108 ,-109 ,-107 ,-101 ,-99 ,-98 ,-98 ,-96 ,-94 ,-106 ,-100 ,-104 ,-100 ,-107 ,-97 ,-91 ,-96 ,-95 ,-85 ,-90 ,-72 ,-30 ,-75 ,-61 ,-87 ,-93 ,-90 ,-91 ,-89 ,-96 ,-101 ,-104 ,-104 ,-103 ,-102 ,-83 ,-88 ,-96 ,-96 ,-93 ,-99 ,-105 ,-113 ,-107 ,-104 ,-104 ,-113 ,-106 ,-113 ,-95 ,-105 ,-105 ,-110 ,-108 ,-111 ,-97 ,-106 ,-110 ,-114 ,-107 ,-107 ,-105 ,-107 ,-110 ,-106 ,-103 ,-108 ,-114 ,-105 ,-103 ,-101 ,-105
Mar Thu 31 00:10:03 2016,  , -110 ,-102 ,-101 ,-98 ,-98 ,-107 ,-108 ,-102 ,-104 ,-101 ,-103 ,-99 ,-98 ,-100 ,-103 ,-108 ,-102 ,-110 ,-105 ,-104 ,-105 ,-107 ,-107 ,-109 ,-112 ,-110 ,-108 ,-105 ,-98 ,-103 ,-110 ,-104 ,-104 ,-111 ,-109 ,-111 ,-109 ,-108 ,-102 ,-110 ,-105 ,-107 ,-111 ,-102 ,-96 ,-99 ,-95 ,-96 ,-99 ,-107 ,-104 ,-107 ,-101 ,-103 ,-102 ,-91 ,-94 ,-92 ,-87 ,-85 ,-72 ,-30 ,-79 ,-62 ,-87 ,-95 ,-91 ,-94 ,-87 ,-93 ,-102 ,-104 ,-104 ,-100 ,-104 ,-85 ,-83 ,-94 ,-93 ,-92 ,-96 ,-104 ,-106 ,-108 ,-103 ,-112 ,-109 ,-112 ,-112 ,-98 ,-111 ,-104 ,-104 ,-107 ,-105 ,-103 ,-111 ,-110 ,-115 ,-110 ,-105 ,-106 ,-106 ,-108 ,-107 ,-106 ,-105 ,-113 ,-104 ,-105 ,-103 ,-101
Mar Thu 31 00:10:04 2016,  , -106 ,-103 ,-103 ,-99 ,-102 ,-104 ,-101 ,-106 ,-106 ,-106 ,-107 ,-97 ,-100 ,-98 ,-103 ,-106 ,-101 ,-105 ,-110 ,-105 ,-100 ,-109 ,-109 ,-111 ,-113 ,-112 ,-112 ,-107 ,-102 ,-106 ,-111 ,-105 ,-109 ,-105 ,-107 ,-104 ,-106 ,-107 ,-105 ,-108 ,-112 ,-107 ,-111 ,-100 ,-99 ,-98 ,-100 ,-98 ,-97 ,-109 ,-107 ,-102 ,-100 ,-103 ,-99 ,-93 ,-94 ,-95 ,-85 ,-87 ,-71 ,-30 ,-77 ,-61 ,-89 ,-90 ,-91 ,-94 ,-92 ,-98 ,-99 ,-107 ,-96 ,-101 ,-101 ,-83 ,-88 ,-94 ,-96 ,-90 ,-99 ,-107 ,-113 ,-110 ,-107 ,-111 ,-111 ,-111 ,-109 ,-100 ,-106 ,-100 ,-106 ,-112 ,-105 ,-103 ,-111 ,-105 ,-111 ,-109 ,-107 ,-102 ,-104 ,-104 ,-104 ,-105 ,-104 ,-113 ,-105 ,-106 ,-101 ,-106
Mar Thu 31 00:10:05 2016,  , -104 ,-109 ,-98 ,-99 ,-99 ,-104 ,-100 ,-104 ,-99 ,-103 ,-105 ,-99 ,-99 ,-101 ,-103 ,-104 ,-107 ,-110 ,-106 ,-107 ,-102 ,-104 ,-103 ,-108 ,-109 ,-105 ,-112 ,-109 ,-105 ,-104 ,-109 ,-100 ,-107 ,-109 ,-101 ,-110 ,-106 ,-105 ,-105 ,-108 ,-111 ,-108 ,-105 ,-97 ,-94 ,-96 ,-100 ,-98 ,-99 ,-108 ,-103 ,-107 ,-100 ,-106 ,-98 ,-94 ,-97 ,-95 ,-90 ,-90 ,-72 ,-30 ,-76 ,-61 ,-89 ,-93 ,-91 ,-92 ,-92 ,-95 ,-101 ,-104 ,-97 ,-104 ,-106 ,-88 ,-85 ,-96 ,-91 ,-93 ,-99 ,-103 ,-112 ,-109 ,-108 ,-105 ,-106 ,-107 ,-105 ,-97 ,-105 ,-103 ,-107 ,-110 ,-105 ,-96 ,-106 ,-109 ,-114 ,-109 ,-107 ,-104 ,-106 ,-110 ,-109 ,-101 ,-110 ,-108 ,-104 ,-103 ,-108 ,-104
Mar Thu 31 00:10:07 2016,  , -103 ,-108 ,-100 ,-101 ,-101 ,-103 ,-106 ,-106 ,-103 ,-106 ,-99 ,-94 ,-99 ,-98 ,-105 ,-104 ,-100 ,-103 ,-107 ,-104 ,-106 ,-103 ,-110 ,-108 ,-108 ,-105 ,-111 ,-111 ,-105 ,-107 ,-108 ,-102 ,-108 ,-107 ,-102 ,-111 ,-110 ,-109 ,-103 ,-106 ,-104 ,-108 ,-106 ,-97 ,-97 ,-101 ,-97 ,-98 ,-96 ,-103 ,-106 ,-107 ,-100 ,-107 ,-105 ,-91 ,-96 ,-92 ,-87 ,-90 ,-71 ,-30 ,-75 ,-63 ,-90 ,-92 ,-91 ,-92 ,-90 ,-96 ,-102 ,-105 ,-96 ,-103 ,-108 ,-88 ,-88 ,-93 ,-93 ,-92 ,-101 ,-109 ,-107 ,-106 ,-107 ,-104 ,-108 ,-108 ,-110 ,-97 ,-112 ,-100 ,-104 ,-106 ,-104 ,-96 ,-113 ,-107 ,-113 ,-105 ,-106 ,-104 ,-102 ,-106 ,-105 ,-107 ,-109 ,-107 ,-104 ,-107 ,-105 ,-100
Mar Thu 31 00:10:08 2016,  , -109 ,-104 ,-100 ,-99 ,-102 ,-103 ,-101 ,-104 ,-103 ,-102 ,-107 ,-96 ,-98 ,-97 ,-107 ,-106 ,-102 ,-106 ,-103 ,-105 ,-100 ,-108 ,-103 ,-111 ,-109 ,-110 ,-108 ,-113 ,-102 ,-110 ,-108 ,-100 ,-104 ,-105 ,-101 ,-108 ,-106 ,-109 ,-108 ,-109 ,-106 ,-107 ,-105 ,-104 ,-96 ,-99 ,-98 ,-98 ,-97 ,-105 ,-103 ,-105 ,-96 ,-106 ,-105 ,-93 ,-99 ,-93 ,-88 ,-88 ,-71 ,-30 ,-78 ,-59 ,-92 ,-95 ,-88 ,-91 ,-92 ,-98 ,-100 ,-108 ,-102 ,-106 ,-100 ,-83 ,-88 ,-91 ,-94 ,-95 ,-96 ,-102 ,-114 ,-109 ,-108 ,-109 ,-113 ,-109 ,-111 ,-97 ,-106 ,-101 ,-108 ,-110 ,-112 ,-103 ,-108 ,-107 ,-114 ,-112 ,-111 ,-104 ,-107 ,-105 ,-109 ,-105 ,-109 ,-114 ,-107 ,-107 ,-107 ,-99
